day,avg_speed,max_speed,avg_active_HR,ttl_distance,elevation_gain,day_no
2017-07-05,17.9101335984,48.42,122.153681638,52.0,341.3,1
2017-07-06,21.0487879665,33.0,128.956203288,115.1,552.5,2
2017-07-07,21.0552569367,76.2,128.63093719,127.7,665.8,3
2017-07-08,22.0593537098,76.86,134.25927061,122.2,689.8,4
2017-07-09,22.0320115887,54.36,124.891180203,120.0,836.2,5
2017-07-10,20.3161657008,43.74,118.918879855,96.6,596.2,6
2017-07-11,20.1633037117,70.92,127.992277992,111.8,869.5,7
2017-07-12,14.481315925,37.62,114.137435619,60.2,741.1,8
2017-07-13,16.3030314636,99.12,114.023518519,86.4,944.7,9
2017-07-14,19.0697237823,46.26,109.974266793,89.5,702.0,10
2017-07-15,17.5259401055,46.62,103.617770121,66.4,751.9,11
2017-07-16,19.387183469,56.52,119.654942768,82.8,886.2,12
2017-07-17,19.7519362792,44.64,119.529467085,117.4,821.0,13
2017-07-18,18.8693616629,50.4,111.646039604,71.7,639.7,14
2017-07-19,20.4460042486,49.32,123.830391061,82.6,1211.9,15
2017-07-20,22.2851147008,61.92,133.790119621,122.6,1169.1,16
2017-07-21,17.6083819316,52.38,126.742268041,73.9,949.1,17
2017-07-22,20.8183579783,59.04,123.595593635,73.5,939.8,18
2017-07-23,19.4589134526,55.08,118.109823911,113.7,1208.0,19
2017-07-24,18.3069513747,72.72,124.033604712,103.1,1289.7,20
2017-07-25,16.4074471319,50.22,117.302276337,95.7,643.8,21
2017-07-26,21.9870675659,33.48,120.336823735,92.5,373.2,22
2017-07-27,21.1069811831,77.76,115.502718447,95.2,711.9,23
2017-07-28,19.6611287423,72.0,107.308177067,114.5,1069.2,24
2017-07-29,21.5546736482,54.72,122.227470141,106.2,1192.1,25
2017-07-30,18.5860291222,84.6,118.914519672,87.2,1818.8,26
2017-07-31,19.1313112818,64.26,118.473156764,102.2,1408.2,27
2017-08-01,17.3307866429,94.32,108.475151158,107.8,1543.5,28
