date,day_no,consumed,water,burnt,need,ttl_cal_burnt
20170705,1,2559,1.5,1986.0415,4481.0415,2105
20170706,2,2336,2.5,4081.466,6576.466,3471
20170707,3,1714,2.0,4368.822,6863.822,3830
20170708,4,3458,2.5,3971.1805,6466.1805,3760
20170709,5,3175,2.5,3921.182,6416.182,4273
20170710,6,3162,2.5,3336.362,5831.362,3352
20170711,7,3574,3.0,3894.468,6389.468,2040
20170712,8,4266,2.5,3216.6905,5711.6905,2505
20170713,9,3340,2.5,4041.034,6536.034,3100
20170714,10,3520,2.5,3517.945,6012.945,3282
20170715,11,2206,2.5,2883.4875,5378.4875,2802
20170716,12,4401,2.5,3250.805,5745.805,3103
20170717,13,4067,2.0,4219.1875,6714.1875,3808
20170718,14,3344,2.5,2810.746,5305.746,2650
20170719,15,3820,3.0,2959.2975,5454.2975,3039
20170720,16,4210,3.5,3954.5745,6449.5745,4343
20170721,17,3821,4.0,3132.5775,5627.5775,2728
20170722,18,3769,2.5,2753.708,5248.708,3942
20170723,19,4576,5.0,4311.6035,6806.6035,3595
20170724,20,3314,3.5,4269.3665,6764.3665,3232
20170725,21,4013,3.5,4365.3925,6860.3925,3340
20170726,22,3897,3.5,2975.1815,5470.1815,3066
20170727,23,3956,4.0,3178.244,5673.244,3431
20170728,24,4256,4.5,4350.772,6845.772,3614
20170729,25,3678,4.0,3890.497,6385.497,3582
20170730,26,4347,5.0,3799.886,6294.886,3734
20170731,27,3674,4.5,4238.862,6733.862,3517
20170801,28,4754,4.0,5057.7905,7552.7905,3439
