day_no,asleep,awake,sleep_duration,sleep_min
1,2017-07-05T00:54:00.000,2017-07-05T01:55:00.000,01:01,61
2,2017-07-06T01:06:00.000,2017-07-06T11:37:00.000,10:31,631
3,2017-07-07T02:39:00.000,2017-07-07T09:26:00.000,06:47,407
4,2017-07-08T02:01:00.000,2017-07-08T10:21:00.000,08:20,500
5,2017-07-09T02:21:00.000,2017-07-09T09:28:00.000,07:07,427
6,2017-07-10T02:04:00.000,2017-07-10T10:42:00.000,08:38,518
7,2017-07-11T03:10:00.000,2017-07-11T08:21:00.000,05:11,311
8,2017-07-11T23:11:00.000,2017-07-12T09:00:00.000,09:49,589
9,2017-07-13T02:14:00.000,2017-07-13T09:13:00.000,06:59,419
10,2017-07-14T00:50:00.000,2017-07-14T08:58:00.000,08:08,488
11,2017-07-15T03:29:00.000,2017-07-15T09:08:00.000,05:39,339
12,2017-07-16T00:29:00.000,2017-07-16T08:00:00.000,07:31,451
13,2017-07-17T00:06:00.000,2017-07-17T08:04:00.000,07:58,478
14,2017-07-18T00:51:00.000,2017-07-18T08:36:00.000,07:45,465
15,2017-07-18T23:41:00.000,2017-07-19T07:39:00.000,07:58,478
16,2017-07-19T23:59:00.000,2017-07-20T07:29:00.000,07:30,450
17,2017-07-21T01:03:00.000,2017-07-21T07:27:00.000,06:24,384
18,2017-07-21T22:48:00.000,2017-07-22T07:00:00.000,08:12,492
19,2017-07-23T01:49:00.000,2017-07-23T07:37:00.000,05:48,348
20,2017-07-24T00:53:00.000,2017-07-24T07:59:00.000,07:06,426
21,2017-07-25T01:02:00.000,2017-07-25T06:47:00.000,05:45,345
22,2017-07-26T00:24:00.000,2017-07-26T08:06:00.000,07:42,462
23,2017-07-26T22:35:00.000,2017-07-27T07:14:00.000,08:39,519
24,2017-07-27T23:57:00.000,2017-07-28T08:56:00.000,08:59,539
25,2017-07-29T00:26:00.000,2017-07-29T07:14:00.000,06:48,408
26,2017-07-30T01:25:00.000,2017-07-30T07:56:00.000,06:31,391
27,2017-07-30T23:03:00.000,2017-07-31T07:53:00.000,08:50,530
28,2017-08-01T00:56:00.000,2017-08-01T06:36:00.000,05:40,340
