asleep,awake
2016-06-01T22:00:11.942,2016-06-02T05:24:56.877
2016-06-02T22:06:38.621,2016-06-03T05:01:12.771
2016-06-03T21:22:08.347,2016-06-04T06:38:30.906
2016-06-04T21:59:35.031,2016-06-05T04:46:39.798
2016-06-05T21:39:50.396,2016-06-06T04:40:52.970
2016-06-06T23:01:36.793,2016-06-07T06:46:53.771
2016-06-07T21:19:37.152,2016-06-08T05:54:52.999
2016-06-08T22:03:37.596,2016-06-09T05:55:48.665
2016-06-09T22:48:49.202,2016-06-10T05:44:16.569
2016-06-10T21:38:46.273,2016-06-11T04:49:54.359
2016-06-11T22:27:32.649,2016-06-12T06:03:21.422
2016-06-12T22:44:15.736,2016-06-13T07:09:17.746
2016-06-13T21:47:55.150,2016-06-14T06:28:54.528
2016-06-14T22:03:48.329,2016-06-15T05:21:41.680
2016-06-15T21:49:35.901,2016-06-16T05:55:36.426
2016-06-16T21:26:03.427,2016-06-17T06:35:43.980
2016-06-17T23:01:04.235,2016-06-18T06:10:02.337
2016-06-18T21:53:16.604,2016-06-19T05:56:33.018
2016-06-19T21:46:22.054,2016-06-20T06:16:53.612
2016-06-20T21:40:59.829,2016-06-21T06:13:21.603
2016-06-21T21:20:50.964,2016-06-22T05:57:31.615
2016-06-22T21:56:15.373,2016-06-23T05:47:55.715
2016-06-23T22:29:42.049,2016-06-24T05:57:21.136
2016-06-24T22:06:26.393,2016-06-25T06:48:54.859
2016-06-25T21:59:10.693,2016-06-26T06:02:39.104
2016-06-26T22:19:02.422,2016-06-27T06:09:21.681
2016-06-27T21:24:13.693,2016-06-28T05:46:32.159
2016-06-28T22:16:47.551,2016-06-29T05:30:29.142
2016-06-29T22:08:11.772,2016-06-30T05:44:53.721
2016-06-30T21:39:59.945,2016-07-01T06:35:02.050
2016-07-01T21:11:29.536,2016-07-02T06:40:16.195
2016-07-02T22:36:34.439,2016-07-03T06:04:45.694
2016-07-03T21:27:03.093,2016-07-04T06:08:32.228
2016-07-04T21:57:03.456,2016-07-05T06:03:17.918
2016-07-05T21:23:36.667,2016-07-06T05:55:27.259
2016-07-06T22:02:48.697,2016-07-07T05:16:21.445
2016-07-07T22:00:23.864,2016-07-08T05:52:17.379
2016-07-08T22:35:51.676,2016-07-09T05:57:14.687
2016-07-09T21:42:28.964,2016-07-10T06:39:58.602
2016-07-10T21:58:23.032,2016-07-11T06:24:59.331
2016-07-11T22:55:40.516,2016-07-12T06:16:50.101
2016-07-12T21:54:25.107,2016-07-13T06:20:14.051
2016-07-13T21:58:34.478,2016-07-14T05:04:28.938
2016-07-14T22:03:25.047,2016-07-15T06:24:51.000
2016-07-15T22:07:02.239,2016-07-16T05:12:10.988
2016-07-16T22:17:20.832,2016-07-17T06:46:13.246
2016-07-17T22:26:16.742,2016-07-18T05:11:16.263
2016-07-18T22:48:47.053,2016-07-19T05:58:40.052
2016-07-19T21:38:24.027,2016-07-20T05:35:41.065
2016-07-20T22:11:33.176,2016-07-21T05:31:28.638
2016-07-21T22:08:52.986,2016-07-22T06:29:55.395
2016-07-22T21:28:45.297,2016-07-23T06:36:12.098
2016-07-23T21:57:37.824,2016-07-24T05:56:38.309
2016-07-24T22:13:16.835,2016-07-25T06:22:41.693
2016-07-25T22:04:07.014,2016-07-26T06:00:58.073
2016-07-26T21:59:51.743,2016-07-27T06:10:38.707
2016-07-27T22:21:43.421,2016-07-28T05:38:59.399
2016-07-28T21:40:40.072,2016-07-29T05:33:41.253
2016-07-29T21:53:50.727,2016-07-30T05:06:52.643
2016-07-30T21:01:40.841,2016-07-31T06:25:19.526
2016-07-31T21:22:34.049,2016-08-01T06:02:11.300
2016-08-01T22:01:15.460,2016-08-02T05:28:35.733
2016-08-02T22:23:19.970,2016-08-03T06:16:38.863
2016-08-03T21:50:52.815,2016-08-04T05:41:15.186
2016-08-04T22:08:45.913,2016-08-05T05:34:47.699
2016-08-05T22:27:36.226,2016-08-06T06:10:01.000
2016-08-06T22:21:28.037,2016-08-07T06:12:16.517
2016-08-07T22:25:18.310,2016-08-08T06:41:58.419
2016-08-08T22:29:22.481,2016-08-09T06:06:01.048
2016-08-09T21:24:11.188,2016-08-10T05:13:49.806
2016-08-10T22:08:06.070,2016-08-11T06:13:29.810
2016-08-11T22:56:54.783,2016-08-12T07:03:33.333
2016-08-12T22:08:42.154,2016-08-13T06:48:09.494
2016-08-13T22:34:35.437,2016-08-14T06:02:18.112
2016-08-14T21:48:41.412,2016-08-15T06:26:20.858
2016-08-15T21:58:24.751,2016-08-16T05:34:26.954
2016-08-16T22:09:15.284,2016-08-17T06:01:32.671
2016-08-17T22:14:04.142,2016-08-18T06:27:57.498
2016-08-18T21:50:48.905,2016-08-19T06:40:35.026
2016-08-19T22:26:12.694,2016-08-20T06:03:47.044
2016-08-20T21:23:27.508,2016-08-21T04:53:22.649
2016-08-21T21:14:10.386,2016-08-22T05:45:17.094
2016-08-22T22:32:19.139,2016-08-23T05:27:47.498
2016-08-23T22:18:17.801,2016-08-24T05:43:31.429
2016-08-24T21:49:59.507,2016-08-25T06:21:35.597
2016-08-25T22:34:53.626,2016-08-26T06:23:46.190
2016-08-26T21:59:54.919,2016-08-27T05:41:28.656
2016-08-27T22:17:33.665,2016-08-28T06:22:43.512
2016-08-28T22:26:17.904,2016-08-29T05:56:46.079
2016-08-29T22:13:12.812,2016-08-30T06:32:15.552
2016-08-30T22:09:25.867,2016-08-31T06:08:44.253
2016-08-31T21:48:07.009,2016-09-01T06:28:38.149
2016-09-01T21:56:09.094,2016-09-02T06:01:00.956
2016-09-02T22:23:36.485,2016-09-03T06:16:00.035
2016-09-03T22:15:11.278,2016-09-04T06:45:39.631
2016-09-04T22:03:17.405,2016-09-05T05:37:23.027
2016-09-05T20:55:46.430,2016-09-06T06:02:23.536
2016-09-06T23:20:43.155,2016-09-07T06:21:55.625
2016-09-07T21:29:23.213,2016-09-08T05:58:51.733
2016-09-08T21:20:43.018,2016-09-09T05:59:53.674
2016-09-09T21:37:51.883,2016-09-10T05:56:27.781
2016-09-10T22:52:59.937,2016-09-11T06:39:25.814
2016-09-11T20:58:48.284,2016-09-12T05:52:10.124
2016-09-12T22:42:36.211,2016-09-13T06:20:24.174
2016-09-13T21:26:47.624,2016-09-14T06:22:45.357
2016-09-14T22:15:04.113,2016-09-15T05:58:24.014
2016-09-15T22:30:48.743,2016-09-16T06:14:29.037
2016-09-16T21:48:48.847,2016-09-17T05:44:32.082
2016-09-17T21:36:18.019,2016-09-18T05:59:07.454
2016-09-18T21:18:48.193,2016-09-19T05:33:37.613
2016-09-19T23:00:47.530,2016-09-20T05:50:25.413
2016-09-20T22:02:34.052,2016-09-21T06:15:21.956
2016-09-21T22:27:21.058,2016-09-22T06:51:16.539
2016-09-22T21:18:54.324,2016-09-23T06:08:52.213
