date,day_no,hours,consumed,water
20170705,1,03:03:23,2559,1.5
20170706,2,06:16:52,2336,2.5
20170707,3,06:43:24,1714,2
20170708,4,06:06:41,3458,2.5
20170709,5,06:02:04,3175,2.5
20170710,6,05:08:04,3162,2.5
20170711,7,05:59:36,3574,3
20170712,8,04:57:01,4266,2.5
20170713,9,06:13:08,3340,2.5
20170714,10,05:24:50,3520,2.5
20170715,11,04:26:15,2206,2.5
20170716,12,05:00:10,4401,2.5
20170717,13,06:29:35,4067,2
20170718,14,04:19:32,3344,2.5
20170719,15,04:33:15,3820,3
20170720,16,06:05:09,4210,3.5
20170721,17,04:49:15,3821,4
20170722,18,04:14:16,3769,2.5
20170723,19,06:38:07,4576,5
20170724,20,06:34:13,3314,3.5
20170725,21,06:43:05,4013,3.5
20170726,22,04:34:43,3897,3.5
20170727,23,04:53:28,3956,4
20170728,24,06:41:44,4256,4.5
20170729,25,05:59:14,3678,4
20170730,26,05:50:52,4347,5
20170731,27,06:31:24,3674,4.5
20170801,28,07:47:01,4754,4
