Date,Resting Heart Rate,Normal Min. Heart Rate,Normal Max. Heart Rate,Normal Calories Burned,Normal Minutes ,Fat Burn Min. Heart Rate,Fat Burn Max. Heart Rate,Fat Burn Calories Burned,Fat Burn Minutes ,Cardio Min. Heart Rate,Cardio Max. Heart Rate,Cardio Calories Burned,Cardio Minutes ,Peak Min. Heart Rate,Peak Max. Heart Rate,Peak Calories Burned,Peak Minutes 
2017-05-01,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-02,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-03,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-04,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-05,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-06,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-07,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-08,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-09,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-10,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-11,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-12,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-13,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-14,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-15,,30,95,,,95,133,,,133,161,,,161,220,,
2017-05-16,,30,95,15.11424,12,95,133,0,0,133,161,0,0,161,220,0,0
2017-05-17,63,30,95,1919.86272,1233,95,133,1020.44736,167,133,161,405.48672,39,161,220,0,0
2017-05-18,64,30,95,2068.1712,1184,95,133,1361.69856,252,133,161,28.69344,3,161,220,0,0
2017-05-19,65,30,95,1441.63872,664,95,133,2137.36608,344,133,161,235.45152,23,161,220,0,0
2017-05-20,65,30,95,425.91456,284,95,133,4.25088,1,133,161,0,0,161,220,0,0
