Sleep Time
,Hrs,Hrs
Apr 22,8.1,8:08 hrs
Apr 23,11.4,11:24 hrs
Apr 24,8.5,8:29 hrs
Apr 25,8.6,8:37 hrs
Apr 26,8.3,8:17 hrs
Apr 27,7.6,7:35 hrs
Apr 28,10.8,10:45 hrs
Apr 29,11.2,11:12 hrs
Apr 30,11.4,11:23 hrs
May 1,10.5,10:27 hrs
May 2,12.3,12:20 hrs
May 3,10.9,10:51 hrs
May 4,11,11:01 hrs
May 5,7.1,7:07 hrs
May 6,9.4,9:21 hrs
May 7,8.8,8:47 hrs
May 8,7.9,7:52 hrs
May 9,7.8,7:50 hrs
May 10,7.9,7:55 hrs
May 11,14.5,14:27 hrs
May 13,11.2,11:13 hrs
May 14,10,10:01 hrs
May 15,10.5,10:27 hrs
May 16,13.6,13:34 hrs
May 17,13.3,13:17 hrs
May 18,5.8,5:50 hrs
May 21,8.4,8:24 hrs
