Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
16/08/17,walking,walking,2017-08-16T10:11:03+02:00,2017-08-16T10:11:22+02:00,19,0.015,30,1
16/08/17,walking,walking,2017-08-16T10:12:39+02:00,2017-08-16T10:17:36+02:00,297,0.215,431,14
16/08/17,walking,walking,2017-08-16T10:17:36+02:00,2017-08-16T10:17:57+02:00,21,0.015,31,1
16/08/17,walking,walking,2017-08-16T10:42:48+02:00,2017-08-16T10:59:29+02:00,1001,1.271,1430,80
16/08/17,walking,walking,2017-08-16T11:01:21+02:00,2017-08-16T11:06:09+02:00,288,0.324,432,20
16/08/17,walking,walking,2017-08-16T13:29:19+02:00,2017-08-16T13:29:48+02:00,29,0.015,30,1
16/08/17,walking,walking,2017-08-16T13:31:11+02:00,2017-08-16T13:42:18+02:00,667,0.573,844,36
16/08/17,walking,walking,2017-08-16T14:40:07+02:00,2017-08-16T14:48:08+02:00,481,0.400,767,25
16/08/17,walking,walking,2017-08-16T14:48:10+02:00,2017-08-16T14:54:29+02:00,379,0.426,568,27
16/08/17,walking,walking,2017-08-16T16:11:37+02:00,2017-08-16T16:12:57+02:00,80,0.068,136,4
16/08/17,walking,walking,2017-08-16T19:45:35+02:00,2017-08-16T19:53:42+02:00,487,0.612,628,39
16/08/17,walking,walking,2017-08-16T19:54:03+02:00,2017-08-16T19:54:49+02:00,46,0.035,70,2
16/08/17,walking,walking,2017-08-16T20:10:47+02:00,2017-08-16T20:11:36+02:00,49,0.040,80,3
16/08/17,walking,walking,2017-08-16T22:13:46+02:00,2017-08-16T22:16:29+02:00,163,0.173,230,11
16/08/17,walking,walking,2017-08-16T22:52:51+02:00,2017-08-16T22:52:54+02:00,3,0.003,6,0
16/08/17,transport,transport,2017-08-16T22:53:06+02:00,2017-08-16T22:57:55+02:00,289,0.521,0,0
16/08/17,walking,walking,2017-08-16T23:01:15+02:00,2017-08-16T23:01:55+02:00,40,0.030,60,2
16/08/17,walking,walking,2017-08-16T23:05:07+02:00,2017-08-16T23:10:33+02:00,326,0.183,326,12
