Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
10/05/17,"Place in Christianshavn, København",2017-05-10T00:19:26+02:00,2017-05-10T07:49:46+02:00,27020,55.67439,12.59182,,
10/05/17,"Place in Indre By, København",2017-05-10T07:59:49+02:00,2017-05-10T11:57:47+02:00,14278,55.687368,12.591419,,
10/05/17,Place in Kongens Lyngby,2017-05-10T12:54:47+02:00,2017-05-10T13:08:29+02:00,822,55.783588,12.518219,,
10/05/17,Place in Kongens Lyngby,2017-05-10T13:12:21+02:00,2017-05-10T13:27:00+02:00,879,55.7864,12.52506,,
10/05/17,Place in Kongens Lyngby,2017-05-10T13:27:01+02:00,2017-05-10T13:39:12+02:00,731,55.785869,12.523583,,
10/05/17,"Place in Indre By, København",2017-05-10T14:19:07+02:00,2017-05-10T14:26:44+02:00,457,55.679694,12.563952,,
10/05/17,"Place in Indre By, København",2017-05-10T14:36:20+02:00,2017-05-10T14:47:25+02:00,665,55.683745,12.571323,,
10/05/17,"Place in Indre By, København",2017-05-10T14:51:41+02:00,2017-05-10T14:54:07+02:00,146,55.685719,12.567905,,
10/05/17,Place in Gentofte,2017-05-10T15:35:00+02:00,2017-05-10T17:01:35+02:00,5195,55.753531,12.519848,,
10/05/17,"Place in Indre By, København",2017-05-10T17:31:50+02:00,2017-05-10T17:40:22+02:00,512,55.682124,12.580935,,
10/05/17,"Place in Christianshavn, København",2017-05-10T17:46:33+02:00,2017-05-10T17:57:33+02:00,660,55.673445,12.592535,,
10/05/17,"Place in Christianshavn, København",2017-05-10T17:57:34+02:00,2017-05-10T20:58:57+02:00,10883,55.67439,12.59182,,
10/05/17,"Place in Christianshavn, København",2017-05-10T21:40:55+02:00,2017-05-11T00:00:00+02:00,8345,55.67439,12.59182,,
