Date,Type,Name,Start,End,Duration
22/08/17,place,"Place in Centrum, København",2017-08-22T00:00:00+02:00,2017-08-22T00:15:48+02:00,948
22/08/17,move,transport,2017-08-22T00:15:48+02:00,2017-08-22T00:20:30+02:00,282
22/08/17,move,walking,2017-08-22T00:20:31+02:00,2017-08-22T00:25:24+02:00,293
22/08/17,move,cycling,2017-08-22T00:25:24+02:00,2017-08-22T00:32:34+02:00,430
22/08/17,place,"Place in Christianshavn, København",2017-08-22T00:32:35+02:00,2017-08-22T08:23:38+02:00,28263
22/08/17,move,cycling,2017-08-22T08:23:38+02:00,2017-08-22T08:35:14+02:00,696
22/08/17,place,"Place in Østerport, København",2017-08-22T08:35:15+02:00,2017-08-22T12:17:03+02:00,13308
22/08/17,move,walking,2017-08-22T12:17:03+02:00,2017-08-22T12:22:14+02:00,311
22/08/17,place,"Place in Indre By, København",2017-08-22T12:22:15+02:00,2017-08-22T12:37:25+02:00,910
22/08/17,move,walking,2017-08-22T12:44:19+02:00,2017-08-22T12:54:01+02:00,582
22/08/17,place,"Place in Østerport, København",2017-08-22T12:54:02+02:00,2017-08-22T16:58:47+02:00,14685
22/08/17,place,"Place in Østerport, København",2017-08-22T16:58:48+02:00,2017-08-22T18:14:19+02:00,4531
22/08/17,move,cycling,2017-08-22T18:14:19+02:00,2017-08-22T18:22:26+02:00,487
22/08/17,place,"Place in Christianshavn, København",2017-08-22T18:22:27+02:00,2017-08-22T20:41:19+02:00,8332
22/08/17,move,cycling,2017-08-22T20:41:19+02:00,2017-08-22T20:49:15+02:00,476
22/08/17,place,"Place in Indre By, København",2017-08-22T20:49:16+02:00,2017-08-22T23:12:26+02:00,8590
22/08/17,move,transport,2017-08-22T23:12:26+02:00,2017-08-22T23:25:09+02:00,763
22/08/17,place,"Place in Christianshavn, København",2017-08-22T23:25:10+02:00,2017-08-23T00:00:00+02:00,2090
