Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
21/03/17,DTU Bibliotek,2017-03-21T14:02:45+01:00,2017-03-21T17:16:43+01:00,11638,55.786990064028,12.52328995644,,
21/03/17,Lyngby Svømmehal,2017-03-21T17:23:42+01:00,2017-03-21T18:42:07+01:00,4705,55.781602164622,12.507930868509,,
21/03/17,Place in Kongens Lyngby,2017-03-21T18:49:24+01:00,2017-03-21T19:21:05+01:00,1901,55.78699,12.52329,,
21/03/17,Place in Kongens Lyngby,2017-03-21T19:21:05+01:00,2017-03-21T19:31:17+01:00,612,55.787481,12.526896,,
21/03/17,Home,2017-03-21T20:07:06+01:00,2017-03-22T00:00:00+01:00,13974,55.67439017685253,12.591819795863357,Home,
22/03/17,Home,2017-03-22T00:00:00+01:00,2017-03-22T08:42:31+01:00,31351,55.67439017685253,12.591819795863357,Home,
22/03/17,Dtu 324,2017-03-22T09:29:52+01:00,2017-03-22T21:07:48+01:00,41876,55.783588405954,12.518218531898,,
22/03/17,Place in Kongens Lyngby,2017-03-22T21:20:32+01:00,2017-03-22T21:30:49+01:00,617,55.786867,12.528193,,
22/03/17,"Place in Christianshavn, København",2017-03-22T22:08:28+01:00,2017-03-23T00:00:00+01:00,6692,55.67439,12.59182,,
23/03/17,"Place in Christianshavn, København",2017-03-23T00:00:00+01:00,2017-03-23T08:12:15+01:00,29535,55.67439,12.59182,,
23/03/17,"Place in Østerport, København",2017-03-23T08:20:08+01:00,2017-03-23T12:21:17+01:00,14469,55.687368,12.591419,,
23/03/17,"Maersk HQ @ Esplanaden - Copenhagen, Denmark",2017-03-23T12:29:19+01:00,2017-03-23T12:57:48+01:00,1709,55.687688478224,12.597840711537,,
23/03/17,"Place in Østerport, København",2017-03-23T13:06:52+01:00,2017-03-23T16:53:35+01:00,13603,55.687368,12.591419,,
23/03/17,"Place in Indre By, København",2017-03-23T16:59:39+01:00,2017-03-23T18:09:32+01:00,4193,55.687137,12.597209,,
23/03/17,KUA - Københavns Universitet Amager,2017-03-23T18:33:54+01:00,2017-03-23T21:04:56+01:00,9062,55.662237558045,12.590210725679,,
23/03/17,"Place in Christianshavn, København",2017-03-23T21:12:06+01:00,2017-03-24T00:00:00+01:00,10074,55.67439,12.59182,,
24/03/17,"Place in Christianshavn, København",2017-03-24T00:00:00+01:00,2017-03-24T08:20:38+01:00,30038,55.67439,12.59182,,
24/03/17,"Place in Østerport, København",2017-03-24T08:28:59+01:00,2017-03-24T12:18:40+01:00,13781,55.687368,12.591419,,
24/03/17,"Place in Østerport, København",2017-03-24T12:25:38+01:00,2017-03-24T12:52:40+01:00,1622,55.687959,12.596893,,
24/03/17,Place in Kongens Lyngby,2017-03-24T13:50:08+01:00,2017-03-24T19:55:10+01:00,21902,55.78699,12.52329,,
