Date,Activity,Group,Duration,Distance,Steps,Calories
21/03/17,walking,walking,329,0.263,527,17
21/03/17,cycling,cycling,1263,4.377,0,126
21/03/17,transport,transport,1740,14.627,0,0
22/03/17,walking,walking,1725,2.035,2814,128
22/03/17,transport,transport,4590,32.249,0,0
23/03/17,walking,walking,1476,1.537,2584,97
23/03/17,cycling,cycling,2727,7.744,0,229
24/03/17,walking,walking,1861,1.633,2892,103
24/03/17,cycling,cycling,1020,3.937,0,112
24/03/17,transport,transport,2731,15.763,0,0
25/03/17,walking,walking,944,1.049,1584,66
25/03/17,transport,transport,7010,47.376,0,0
25/03/17,cycling,cycling,468,1.885,0,54
26/03/17,walking,walking,3057,3.419,4446,215
26/03/17,cycling,cycling,1460,6.744,0,189
26/03/17,running,running,2654,6.804,6034,522
26/03/17,transport,transport,4386,31.163,0,0
27/03/17,walking,walking,3362,3.461,5400,218
27/03/17,cycling,cycling,1217,3.916,0,114
27/03/17,running,running,2688,6.708,6336,515
28/03/17,walking,walking,2536,2.960,3987,186
28/03/17,transport,transport,6288,36.604,0,0
28/03/17,cycling,cycling,673,2.197,0,64
29/03/17,walking,walking,1629,1.905,2535,120
29/03/17,cycling,cycling,1423,3.924,0,116
29/03/17,transport,transport,4472,30.494,0,0
30/03/17,walking,walking,2894,3.100,4774,195
30/03/17,cycling,cycling,629,2.105,0,61
30/03/17,running,running,435,0.797,800,63
30/03/17,transport,transport,19494,394.651,0,0
31/03/17,walking,walking,687,0.512,870,32
01/04/17,walking,walking,3412,3.590,5430,226
01/04/17,running,running,2552,5.630,6002,437
02/04/17,walking,walking,2291,2.759,3968,174
02/04/17,transport,transport,16677,389.158,0,0
03/04/17,walking,walking,2795,2.498,4208,157
03/04/17,cycling,cycling,1433,4.054,0,120
03/04/17,running,running,2735,7.201,6200,551
04/04/17,walking,walking,570,0.463,928,29
04/04/17,cycling,cycling,3299,10.462,0,305
05/04/17,walking,walking,2090,2.593,3250,163
05/04/17,cycling,cycling,238,0.212,0,8
05/04/17,transport,transport,4267,31.464,0,0
06/04/17,cycling,cycling,409,1.926,0,54
06/04/17,walking,walking,1229,1.026,1766,65
06/04/17,transport,transport,827,2.478,0,0
06/04/17,running,running,3276,7.650,8087,591
07/04/17,cycling,cycling,1144,4.027,0,116
07/04/17,walking,walking,1573,1.581,2375,100
07/04/17,transport,transport,1248,1.574,0,0
07/04/17,running,running,2798,7.128,7112,547
08/04/17,transport,transport,1801,6.241,0,0
08/04/17,walking,walking,948,0.950,1436,60
08/04/17,cycling,cycling,772,3.160,0,90
09/04/17,walking,walking,1356,1.253,1967,79
09/04/17,cycling,cycling,3165,10.187,0,296
09/04/17,transport,transport,507,1.458,0,0
10/04/17,walking,walking,3907,4.395,6400,277
10/04/17,cycling,cycling,1034,3.760,0,108
11/04/17,cycling,cycling,1160,3.895,0,113
11/04/17,walking,walking,3856,4.683,6824,295
11/04/17,running,running,3167,8.015,7549,615
11/04/17,transport,transport,2408,11.686,0,0
12/04/17,walking,walking,4660,5.090,8205,321
12/04/17,cycling,cycling,626,2.265,0,65
12/04/17,transport,transport,576,1.759,0,0
13/04/17,walking,walking,373,0.384,561,24
13/04/17,cycling,cycling,1130,4.445,0,127
13/04/17,transport,transport,2759,6.212,0,0
14/04/17,walking,walking,2515,2.650,4157,167
14/04/17,cycling,cycling,2379,9.623,0,273
15/04/17,walking,walking,10383,11.649,16822,734
15/04/17,transport,transport,17037,2558.342,0,0
16/04/17,walking,walking,9056,11.369,15062,716
17/04/17,walking,walking,4138,5.796,7281,365
18/04/17,walking,walking,5714,6.021,9084,379
18/04/17,transport,transport,830,1.397,0,0
19/04/17,walking,walking,5217,6.660,8729,419
19/04/17,transport,transport,6015,104.219,0,0
20/04/17,walking,walking,8734,9.327,13734,587
21/04/17,walking,walking,4820,4.929,7851,310
21/04/17,transport,transport,16850,2538.864,0,0
21/04/17,cycling,cycling,533,2.564,0,72
22/04/17,walking,walking,3158,3.102,5053,195
22/04/17,transport,transport,19282,2558.035,0,0
23/04/17,walking,walking,1816,1.771,2298,112
23/04/17,transport,transport,12874,277.922,0,0
24/04/17,walking,walking,477,0.333,651,21
24/04/17,transport,transport,5976,38.296,0,0
25/04/17,walking,walking,1445,1.134,1902,71
25/04/17,transport,transport,7204,53.759,0,0
26/04/17,transport,transport,23937,337.995,0,0
26/04/17,walking,walking,5722,5.828,8700,367
27/04/17,walking,walking,4690,5.239,7407,330
