Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
21/03/17,walking,walking,2017-03-21T14:06:52+01:00,2017-03-21T14:07:05+01:00,13,0.010,20,1
21/03/17,walking,walking,2017-03-21T17:12:46+01:00,2017-03-21T17:14:16+01:00,90,0.075,150,5
21/03/17,cycling,cycling,2017-03-21T17:16:43+01:00,2017-03-21T17:23:41+01:00,418,1.438,0,42
21/03/17,walking,walking,2017-03-21T17:23:45+01:00,2017-03-21T17:24:18+01:00,33,0.025,50,2
21/03/17,walking,walking,2017-03-21T18:40:00+01:00,2017-03-21T18:40:31+01:00,31,0.031,62,2
21/03/17,cycling,cycling,2017-03-21T18:42:07+01:00,2017-03-21T18:49:24+01:00,437,1.644,0,47
21/03/17,walking,walking,2017-03-21T18:50:10+01:00,2017-03-21T18:50:30+01:00,20,0.015,30,1
21/03/17,walking,walking,2017-03-21T19:21:17+01:00,2017-03-21T19:23:10+01:00,113,0.085,171,5
21/03/17,transport,transport,2017-03-21T19:31:17+01:00,2017-03-21T20:00:17+01:00,1740,14.627,0,0
21/03/17,cycling,cycling,2017-03-21T20:00:17+01:00,2017-03-21T20:07:05+01:00,408,1.295,0,38
21/03/17,walking,walking,2017-03-21T20:07:06+01:00,2017-03-21T20:07:35+01:00,29,0.022,44,1
22/03/17,walking,walking,2017-03-22T01:37:48+01:00,2017-03-22T01:38:17+01:00,29,0.014,20,1
22/03/17,walking,walking,2017-03-22T08:38:47+01:00,2017-03-22T08:39:57+01:00,70,0.045,90,3
22/03/17,transport,transport,2017-03-22T08:42:31+01:00,2017-03-22T09:21:23+01:00,2332,16.202,0,0
22/03/17,walking,walking,2017-03-22T09:21:23+01:00,2017-03-22T09:29:51+01:00,508,0.614,920,39
22/03/17,walking,walking,2017-03-22T12:30:47+01:00,2017-03-22T12:33:57+01:00,190,0.214,286,13
22/03/17,walking,walking,2017-03-22T17:38:12+01:00,2017-03-22T17:40:37+01:00,145,0.154,205,10
22/03/17,walking,walking,2017-03-22T21:07:48+01:00,2017-03-22T21:20:31+01:00,763,0.979,1263,62
22/03/17,transport,transport,2017-03-22T21:30:49+01:00,2017-03-22T22:08:27+01:00,2258,16.047,0,0
22/03/17,walking,walking,2017-03-22T22:09:16+01:00,2017-03-22T22:09:36+01:00,20,0.015,30,1
23/03/17,walking,walking,2017-03-23T08:10:33+01:00,2017-03-23T08:11:02+01:00,29,0.030,60,2
23/03/17,cycling,cycling,2017-03-23T08:12:15+01:00,2017-03-23T08:20:08+01:00,473,1.923,0,55
23/03/17,walking,walking,2017-03-23T08:26:56+01:00,2017-03-23T08:27:29+01:00,33,0.025,50,2
23/03/17,walking,walking,2017-03-23T09:24:50+01:00,2017-03-23T09:25:19+01:00,29,0.030,60,2
23/03/17,walking,walking,2017-03-23T12:19:47+01:00,2017-03-23T12:20:16+01:00,29,0.015,30,1
23/03/17,walking,walking,2017-03-23T12:21:17+01:00,2017-03-23T12:29:18+01:00,481,0.575,872,36
23/03/17,walking,walking,2017-03-23T12:32:01+01:00,2017-03-23T12:32:33+01:00,32,0.024,49,2
23/03/17,walking,walking,2017-03-23T12:57:48+01:00,2017-03-23T13:06:51+01:00,543,0.613,1012,39
23/03/17,walking,walking,2017-03-23T13:07:11+01:00,2017-03-23T13:08:42+01:00,91,0.068,136,4
23/03/17,walking,walking,2017-03-23T14:01:25+01:00,2017-03-23T14:02:28+01:00,63,0.045,90,3
23/03/17,walking,walking,2017-03-23T16:33:53+01:00,2017-03-23T16:34:46+01:00,53,0.042,85,3
23/03/17,cycling,cycling,2017-03-23T16:53:35+01:00,2017-03-23T16:59:38+01:00,363,0.534,0,18
23/03/17,walking,walking,2017-03-23T18:06:39+01:00,2017-03-23T18:08:12+01:00,93,0.070,140,4
23/03/17,cycling,cycling,2017-03-23T18:09:32+01:00,2017-03-23T18:33:53+01:00,1461,3.469,0,105
23/03/17,cycling,cycling,2017-03-23T21:04:56+01:00,2017-03-23T21:12:06+01:00,430,1.818,0,51
