Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
01/08/17,Place in Saray,2017-08-01T00:00:00+02:00,2017-08-01T07:34:52+02:00,27292,41.43804,28.088511,,
01/08/17,Place in Saray,2017-08-01T07:42:48+02:00,2017-08-01T07:55:48+02:00,780,41.438895,28.080745,,
01/08/17,Place in Subası,2017-08-01T10:40:33+02:00,2017-08-01T11:28:03+02:00,2850,41.223161,28.455345,,
01/08/17,"Place in Sanayii, Istanbul",2017-08-01T13:56:01+02:00,2017-08-01T14:14:11+02:00,1090,41.08049,28.652473,,
01/08/17,"Place in Yesilkoy, Istanbul",2017-08-01T16:01:07+02:00,2017-08-01T16:15:50+02:00,883,40.962575,28.832256,,
01/08/17,Place in Istanbul,2017-08-01T17:07:24+02:00,2017-08-01T17:16:14+02:00,530,40.998884,28.933054,,
02/08/17,Place in Istanbul,2017-08-02T03:25:39+02:00,2017-08-02T13:35:22+02:00,36583,40.996756,28.928173,,
02/08/17,"Place in Mesih Paşa, Istanbul",2017-08-02T14:07:34+02:00,2017-08-02T14:20:07+02:00,753,41.009031,28.953303,,
02/08/17,"Place in Kemalpaşa, Istanbul",2017-08-02T14:37:14+02:00,2017-08-02T14:43:11+02:00,357,41.014528,28.954411,,
02/08/17,Place in Istanbul,2017-08-02T15:32:05+02:00,2017-08-02T17:38:27+02:00,7582,40.996756,28.928173,,
02/08/17,"Place in Yesilkoy, Istanbul",2017-08-02T18:33:37+02:00,2017-08-02T18:50:03+02:00,986,40.978575,28.818624,,
02/08/17,"Place in Yesilkoy, Istanbul",2017-08-02T18:50:04+02:00,2017-08-02T19:39:20+02:00,2956,40.978129,28.820482,,
02/08/17,"Place in Yesilkoy, Istanbul",2017-08-02T19:39:21+02:00,2017-08-02T19:47:21+02:00,480,40.977425,28.819216,,
02/08/17,"Place in Yesilkoy, Istanbul",2017-08-02T19:52:00+02:00,2017-08-02T20:45:06+02:00,3186,40.97676,28.817793,,
02/08/17,"Place in Yesilkoy, Istanbul",2017-08-02T20:45:07+02:00,2017-08-02T21:03:55+02:00,1128,40.976208,28.815781,,
02/08/17,"Place in Yesilkoy, Istanbul",2017-08-02T21:06:43+02:00,2017-08-02T21:28:32+02:00,1309,40.975552,28.823353,,
02/08/17,Place in Spáta,2017-08-02T23:04:31+02:00,2017-08-02T23:18:41+02:00,850,37.938554,23.949488,,
02/08/17,Place in Spáta,2017-08-02T23:18:42+02:00,2017-08-02T23:49:26+02:00,1844,37.938398,23.947034,,
03/08/17,"Place in Kountouriotika, Athens",2017-08-03T00:36:49+02:00,2017-08-03T01:08:00+02:00,1871,37.985462,23.760599,,
03/08/17,"Place in Polygono, Athens",2017-08-03T01:15:23+02:00,2017-08-03T01:30:23+02:00,900,37.99632,23.74092,,
03/08/17,Place in Kifisiá,2017-08-03T02:08:44+02:00,2017-08-03T08:35:46+02:00,23222,38.113398,23.839888,,
03/08/17,"Place in Patíssia, Athens",2017-08-03T09:11:56+02:00,2017-08-03T09:14:55+02:00,179,38.013578,23.720985,,
03/08/17,"Place in Patíssia, Athens",2017-08-03T09:20:05+02:00,2017-08-03T09:30:19+02:00,614,38.01495,23.722927,,
03/08/17,"Place in Omonoia, Athens",2017-08-03T10:01:58+02:00,2017-08-03T10:22:29+02:00,1231,37.983524,23.731058,,
03/08/17,"Place in Άγιος Παντελεήμονας, Athens",2017-08-03T10:33:27+02:00,2017-08-03T10:51:43+02:00,1096,37.999824,23.733407,,
03/08/17,Place in Amaroúsion,2017-08-03T11:36:31+02:00,2017-08-03T11:59:20+02:00,1369,38.05548,23.807829,,
03/08/17,Place in Kifisiá,2017-08-03T12:30:42+02:00,2017-08-03T12:52:31+02:00,1309,38.113656,23.839727,,
03/08/17,Place in Kifisiá,2017-08-03T12:56:59+02:00,2017-08-03T13:36:10+02:00,2351,38.114682,23.828045,,
03/08/17,Place in Kifisiá,2017-08-03T13:48:35+02:00,2017-08-03T18:48:37+02:00,18002,38.113398,23.839888,,
03/08/17,Place in Amaroúsion,2017-08-03T19:12:31+02:00,2017-08-03T22:31:05+02:00,11914,38.059578,23.798052,,
04/08/17,Place in Kifisiá,2017-08-04T12:55:25+02:00,2017-08-05T00:00:00+02:00,39875,38.113398,23.839888,,
05/08/17,Place in Kifisiá,2017-08-05T00:00:00+02:00,2017-08-05T11:20:01+02:00,40801,38.113398,23.839888,,
