Date,Activity,Group,Duration,Distance,Steps,Calories
01/06/17,walking,walking,11440,11.938,18198,752
01/06/17,transport,transport,2978,15.860,0,0
02/06/17,walking,walking,17841,18.450,26164,1162
02/06/17,transport,transport,959,4.066,0,0
03/06/17,walking,walking,11380,11.261,17307,709
03/06/17,transport,transport,2977,4.904,0,0
04/06/17,walking,walking,12945,13.013,18956,820
04/06/17,transport,transport,3224,9.012,0,0
05/06/17,walking,walking,6564,6.952,10055,438
05/06/17,transport,transport,3856,18.565,0,0
05/06/17,cycling,cycling,1768,5.187,0,152
06/06/17,walking,walking,1544,1.703,2377,107
06/06/17,cycling,cycling,555,2.037,0,58
06/06/17,transport,transport,947,1.090,0,0
07/06/17,transport,transport,1540,4.074,0,0
07/06/17,walking,walking,954,1.036,1502,65
08/06/17,walking,walking,1724,1.591,2808,100
08/06/17,cycling,cycling,907,4.405,0,123
08/06/17,transport,transport,1526,4.252,0,0
09/06/17,walking,walking,2303,2.483,3506,156
09/06/17,cycling,cycling,603,1.908,0,56
09/06/17,transport,transport,5489,13.995,0,0
10/06/17,walking,walking,2953,3.107,4329,196
10/06/17,transport,transport,3617,9.243,0,0
10/06/17,cycling,cycling,6135,22.003,0,633
11/06/17,walking,walking,2553,3.024,4393,190
11/06/17,cycling,cycling,20331,135.929,0,3723
11/06/17,transport,transport,3108,32.465,0,0
12/06/17,walking,walking,2019,2.148,3205,135
12/06/17,cycling,cycling,1114,4.250,0,121
12/06/17,transport,transport,523,1.737,0,0
13/06/17,walking,walking,3873,4.346,6117,274
13/06/17,cycling,cycling,459,1.940,0,55
13/06/17,transport,transport,3263,16.349,0,0
14/06/17,cycling,cycling,1182,4.158,0,120
14/06/17,walking,walking,2802,2.360,3911,149
14/06/17,transport,transport,17454,2536.338,0,0
15/06/17,walking,walking,2117,2.025,3217,128
15/06/17,transport,transport,7362,76.632,0,0
16/06/17,walking,walking,1587,1.401,2337,88
16/06/17,transport,transport,10789,86.161,0,0
17/06/17,walking,walking,3594,3.610,5495,227
17/06/17,transport,transport,19479,156.380,0,0
18/06/17,walking,walking,2132,2.039,3048,128
18/06/17,transport,transport,19016,2569.615,0,0
19/06/17,walking,walking,3521,3.647,5341,230
19/06/17,cycling,cycling,1602,5.839,0,168
19/06/17,transport,transport,878,1.886,0,0
20/06/17,cycling,cycling,913,3.076,0,89
20/06/17,walking,walking,2016,1.743,3125,110
20/06/17,transport,transport,434,0.591,0,0
21/06/17,walking,walking,2399,2.675,3844,168
21/06/17,cycling,cycling,863,3.702,0,105
21/06/17,transport,transport,118,0.535,0,0
22/06/17,walking,walking,1982,2.092,3043,132
22/06/17,cycling,cycling,1854,6.038,0,175
22/06/17,transport,transport,901,2.378,0,0
23/06/17,walking,walking,4466,5.275,6719,332
23/06/17,transport,transport,1138,3.481,0,0
23/06/17,cycling,cycling,3087,10.912,0,314
24/06/17,walking,walking,7900,11.676,13027,735
24/06/17,transport,transport,574,0.658,0,0
25/06/17,walking,walking,4166,4.230,7085,266
25/06/17,transport,transport,484,1.353,0,0
26/06/17,walking,walking,1860,2.128,3019,134
26/06/17,transport,transport,1373,4.695,0,0
26/06/17,cycling,cycling,284,0.847,0,25
27/06/17,walking,walking,2407,2.216,3583,140
27/06/17,cycling,cycling,675,2.475,0,71
27/06/17,transport,transport,668,1.952,0,0
28/06/17,walking,walking,1610,1.668,2277,105
28/06/17,cycling,cycling,1144,3.819,0,111
29/06/17,cycling,cycling,780,2.912,0,83
29/06/17,walking,walking,1309,1.229,1911,77
29/06/17,transport,transport,365,0.762,0,0
30/06/17,walking,walking,1111,1.108,1680,70
30/06/17,cycling,cycling,2876,12.835,0,362
