Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/07/17,walking,walking,2017-07-10T00:00:38+02:00,2017-07-10T00:03:35+02:00,177,0.177,236,11
10/07/17,walking,walking,2017-07-10T09:42:26+02:00,2017-07-10T09:42:55+02:00,29,0.014,20,1
10/07/17,cycling,cycling,2017-07-10T12:44:10+02:00,2017-07-10T12:57:12+02:00,782,2.908,0,83
10/07/17,cycling,cycling,2017-07-10T13:33:29+02:00,2017-07-10T16:43:53+02:00,11424,59.690,0,1661
10/07/17,cycling,cycling,2017-07-10T18:30:27+02:00,2017-07-10T20:23:52+02:00,6805,39.723,0,1097
10/07/17,cycling,cycling,2017-07-10T20:46:47+02:00,2017-07-10T21:49:18+02:00,3751,17.733,0,497
10/07/17,walking,walking,2017-07-10T22:29:09+02:00,2017-07-10T22:29:22+02:00,13,0.010,20,1
11/07/17,walking,walking,2017-07-11T07:42:56+02:00,2017-07-11T07:43:25+02:00,29,0.015,30,1
11/07/17,walking,walking,2017-07-11T08:24:57+02:00,2017-07-11T08:25:26+02:00,29,0.020,40,1
11/07/17,walking,walking,2017-07-11T09:22:20+02:00,2017-07-11T09:23:23+02:00,63,0.040,80,3
11/07/17,cycling,cycling,2017-07-11T09:52:40+02:00,2017-07-11T11:16:03+02:00,5003,29.275,0,808
11/07/17,cycling,cycling,2017-07-11T11:28:48+02:00,2017-07-11T12:22:58+02:00,3250,14.139,0,399
11/07/17,walking,walking,2017-07-11T13:09:22+02:00,2017-07-11T13:09:41+02:00,19,0.015,30,1
11/07/17,cycling,cycling,2017-07-11T13:10:06+02:00,2017-07-11T14:29:40+02:00,4774,26.492,0,734
11/07/17,walking,walking,2017-07-11T18:10:29+02:00,2017-07-11T18:10:48+02:00,19,0.014,29,1
11/07/17,walking,walking,2017-07-11T19:04:35+02:00,2017-07-11T19:15:54+02:00,679,0.627,1045,39
11/07/17,walking,walking,2017-07-11T19:16:11+02:00,2017-07-11T19:16:23+02:00,12,0.009,19,1
11/07/17,walking,walking,2017-07-11T20:40:21+02:00,2017-07-11T20:40:50+02:00,29,0.025,50,2
11/07/17,walking,walking,2017-07-11T20:41:14+02:00,2017-07-11T20:42:36+02:00,82,0.061,123,4
11/07/17,walking,walking,2017-07-11T20:51:20+02:00,2017-07-11T21:02:44+02:00,684,0.728,1224,46
12/07/17,walking,walking,2017-07-12T09:59:35+02:00,2017-07-12T09:59:51+02:00,16,0.012,24,1
12/07/17,walking,walking,2017-07-12T10:00:00+02:00,2017-07-12T10:00:05+02:00,5,0.002,5,0
12/07/17,cycling,cycling,2017-07-12T11:18:43+02:00,2017-07-12T12:30:27+02:00,4304,19.323,0,544
12/07/17,cycling,cycling,2017-07-12T12:56:27+02:00,2017-07-12T14:34:11+02:00,5864,21.509,0,617
12/07/17,cycling,cycling,2017-07-12T16:18:07+02:00,2017-07-12T17:16:46+02:00,3519,15.593,0,440
12/07/17,cycling,cycling,2017-07-12T17:42:16+02:00,2017-07-12T18:31:57+02:00,2981,12.049,0,342
12/07/17,walking,walking,2017-07-12T19:01:45+02:00,2017-07-12T19:05:02+02:00,197,0.226,263,14
12/07/17,cycling,cycling,2017-07-12T19:09:03+02:00,2017-07-12T19:13:22+02:00,259,0.550,0,17
12/07/17,cycling,cycling,2017-07-12T19:23:03+02:00,2017-07-12T19:44:17+02:00,1274,7.064,0,196
12/07/17,cycling,cycling,2017-07-12T19:44:18+02:00,2017-07-12T19:58:58+02:00,880,1.396,0,45
12/07/17,cycling,cycling,2017-07-12T20:11:51+02:00,2017-07-12T20:54:55+02:00,2584,10.152,0,289
13/07/17,walking,walking,2017-07-13T10:02:34+02:00,2017-07-13T10:02:53+02:00,19,0.015,30,1
13/07/17,cycling,cycling,2017-07-13T11:49:34+02:00,2017-07-13T12:07:42+02:00,1088,3.446,0,100
13/07/17,cycling,cycling,2017-07-13T12:11:28+02:00,2017-07-13T12:19:47+02:00,499,1.349,0,40
13/07/17,cycling,cycling,2017-07-13T12:24:47+02:00,2017-07-13T12:58:03+02:00,1996,5.423,0,161
13/07/17,cycling,cycling,2017-07-13T13:02:54+02:00,2017-07-13T14:40:07+02:00,5833,28.773,0,804
13/07/17,cycling,cycling,2017-07-13T14:49:47+02:00,2017-07-13T15:18:44+02:00,1737,6.348,0,182
13/07/17,cycling,cycling,2017-07-13T15:29:54+02:00,2017-07-13T15:42:23+02:00,749,1.202,0,39
13/07/17,walking,walking,2017-07-13T17:39:17+02:00,2017-07-13T17:39:36+02:00,19,0.015,30,1
13/07/17,cycling,cycling,2017-07-13T18:01:43+02:00,2017-07-13T19:50:12+02:00,6509,33.568,0,935
13/07/17,cycling,cycling,2017-07-13T20:10:04+02:00,2017-07-13T21:49:11+02:00,5947,24.642,0,699
13/07/17,cycling,cycling,2017-07-13T21:52:12+02:00,2017-07-13T22:15:31+02:00,1399,4.698,0,136
13/07/17,walking,walking,2017-07-13T22:36:39+02:00,2017-07-13T22:37:05+02:00,26,0.020,40,1
13/07/17,walking,walking,2017-07-13T23:04:48+02:00,2017-07-13T23:05:17+02:00,29,0.014,20,1
14/07/17,cycling,cycling,2017-07-14T12:19:27+02:00,2017-07-14T14:20:35+02:00,7268,33.063,0,930
14/07/17,cycling,cycling,2017-07-14T15:23:01+02:00,2017-07-14T17:10:04+02:00,6423,35.901,0,994
14/07/17,cycling,cycling,2017-07-14T18:03:40+02:00,2017-07-14T18:58:12+02:00,3272,15.432,0,433
14/07/17,cycling,cycling,2017-07-14T19:07:15+02:00,2017-07-14T19:13:42+02:00,387,1.928,0,54
14/07/17,cycling,cycling,2017-07-14T19:35:34+02:00,2017-07-14T21:25:27+02:00,6593,31.045,0,871
15/07/17,walking,walking,2017-07-15T09:11:12+02:00,2017-07-15T09:11:31+02:00,19,0.015,30,1
15/07/17,cycling,cycling,2017-07-15T11:54:16+02:00,2017-07-15T12:46:34+02:00,3138,10.091,0,293
15/07/17,cycling,cycling,2017-07-15T13:37:52+02:00,2017-07-15T15:23:38+02:00,6346,39.711,0,1092
15/07/17,cycling,cycling,2017-07-15T15:59:15+02:00,2017-07-15T17:30:45+02:00,5490,22.992,0,651
15/07/17,cycling,cycling,2017-07-15T18:51:04+02:00,2017-07-15T19:47:30+02:00,3386,14.530,0,411
15/07/17,cycling,cycling,2017-07-15T19:52:02+02:00,2017-07-15T20:12:18+02:00,1216,4.228,0,122
15/07/17,cycling,cycling,2017-07-15T20:15:57+02:00,2017-07-15T20:48:25+02:00,1948,8.173,0,231
16/07/17,cycling,cycling,2017-07-16T10:59:59+02:00,2017-07-16T11:34:50+02:00,2091,10.831,0,302
16/07/17,cycling,cycling,2017-07-16T11:39:51+02:00,2017-07-16T12:55:02+02:00,4511,19.140,0,542
16/07/17,cycling,cycling,2017-07-16T13:03:20+02:00,2017-07-16T13:41:24+02:00,2284,11.396,0,318
16/07/17,walking,walking,2017-07-16T13:46:47+02:00,2017-07-16T13:47:07+02:00,20,0.015,30,1
16/07/17,cycling,cycling,2017-07-16T14:59:27+02:00,2017-07-16T16:46:22+02:00,6415,37.948,0,1047
16/07/17,walking,walking,2017-07-16T16:55:36+02:00,2017-07-16T16:55:55+02:00,19,0.015,30,1
16/07/17,cycling,cycling,2017-07-16T17:48:23+02:00,2017-07-16T17:59:43+02:00,680,2.385,0,69
16/07/17,cycling,cycling,2017-07-16T18:47:31+02:00,2017-07-16T20:14:16+02:00,5205,25.170,0,705
16/07/17,cycling,cycling,2017-07-16T20:23:48+02:00,2017-07-16T20:35:54+02:00,726,4.152,0,115
16/07/17,walking,walking,2017-07-16T23:37:46+02:00,2017-07-16T23:39:12+02:00,86,0.065,130,4
