Date,Type,Name,Start,End,Duration
15/05/17,move,cycling,2017-05-15T00:00:00+02:00,2017-05-15T00:11:51+02:00,711
15/05/17,place,"Place in Christianshavn, København",2017-05-15T08:17:49+02:00,2017-05-15T21:36:50+02:00,47941
15/05/17,move,walking,2017-05-15T21:36:50+02:00,2017-05-15T21:52:08+02:00,918
15/05/17,place,"Place in Christianshavn, København",2017-05-15T21:52:09+02:00,2017-05-16T00:00:00+02:00,7671
16/05/17,place,"Place in Christianshavn, København",2017-05-16T00:00:00+02:00,2017-05-16T09:51:19+02:00,35479
16/05/17,move,cycling,2017-05-16T09:51:19+02:00,2017-05-16T10:36:51+02:00,2732
16/05/17,place,Place in Kongens Lyngby,2017-05-16T10:36:52+02:00,2017-05-16T10:50:04+02:00,792
16/05/17,place,Place in Kongens Lyngby,2017-05-16T10:50:05+02:00,2017-05-16T11:53:02+02:00,3777
16/05/17,place,Place in Kongens Lyngby,2017-05-16T11:53:03+02:00,2017-05-16T12:38:45+02:00,2742
16/05/17,move,transport,2017-05-16T12:38:45+02:00,2017-05-16T12:41:44+02:00,179
16/05/17,place,Place in Kongens Lyngby,2017-05-16T12:41:45+02:00,2017-05-16T13:52:25+02:00,4240
16/05/17,place,Place in Kongens Lyngby,2017-05-16T13:52:26+02:00,2017-05-16T20:47:12+02:00,24886
16/05/17,move,cycling,2017-05-16T20:47:12+02:00,2017-05-16T21:33:26+02:00,2774
16/05/17,place,"Place in Christianshavn, København",2017-05-16T21:33:27+02:00,2017-05-17T00:00:00+02:00,8793
17/05/17,place,"Place in Christianshavn, København",2017-05-17T00:00:00+02:00,2017-05-17T09:31:19+02:00,34279
17/05/17,move,cycling,2017-05-17T09:31:19+02:00,2017-05-17T10:13:39+02:00,2540
17/05/17,place,Place in Kongens Lyngby,2017-05-17T10:13:40+02:00,2017-05-17T10:21:27+02:00,467
17/05/17,move,walking,2017-05-17T10:21:27+02:00,2017-05-17T10:27:01+02:00,334
17/05/17,move,cycling,2017-05-17T10:27:02+02:00,2017-05-17T10:31:52+02:00,290
17/05/17,place,Place in Kongens Lyngby,2017-05-17T10:31:53+02:00,2017-05-17T12:39:18+02:00,7645
17/05/17,place,Place in Kongens Lyngby,2017-05-17T12:39:19+02:00,2017-05-17T12:46:55+02:00,456
17/05/17,move,cycling,2017-05-17T12:46:55+02:00,2017-05-17T13:27:03+02:00,2408
17/05/17,place,"Place in Østerport, København",2017-05-17T13:27:04+02:00,2017-05-17T17:40:11+02:00,15187
17/05/17,move,cycling,2017-05-17T17:40:11+02:00,2017-05-17T17:51:09+02:00,658
17/05/17,place,"Place in Christianshavn, København",2017-05-17T17:52:15+02:00,2017-05-18T00:00:00+02:00,22065
18/05/17,place,"Place in Christianshavn, København",2017-05-18T00:00:00+02:00,2017-05-18T08:09:40+02:00,29380
18/05/17,move,cycling,2017-05-18T08:09:40+02:00,2017-05-18T08:17:46+02:00,486
18/05/17,move,walking,2017-05-18T08:17:47+02:00,2017-05-18T08:18:34+02:00,47
18/05/17,place,"Place in Østerport, København",2017-05-18T08:18:35+02:00,2017-05-18T12:23:52+02:00,14717
18/05/17,move,walking,2017-05-18T12:23:52+02:00,2017-05-18T12:29:00+02:00,308
18/05/17,place,"Place in Indre By, København",2017-05-18T12:29:01+02:00,2017-05-18T12:55:00+02:00,1559
18/05/17,move,walking,2017-05-18T12:55:00+02:00,2017-05-18T13:06:38+02:00,698
18/05/17,place,"Place in Østerport, København",2017-05-18T13:06:39+02:00,2017-05-18T16:17:35+02:00,11456
