Date,Activity,Group,Duration,Distance,Steps,Calories
24/07/17,walking,walking,80,0.045,75,3
24/07/17,cycling,cycling,24010,115.276,0,3229
25/07/17,walking,walking,279,0.272,394,17
25/07/17,cycling,cycling,25995,118.141,0,3323
26/07/17,transport,transport,7693,30.502,0,0
26/07/17,cycling,cycling,19440,110.795,0,3065
26/07/17,walking,walking,28,0.021,42,1
27/07/17,walking,walking,67,0.060,120,4
27/07/17,cycling,cycling,24696,122.700,0,3427
28/07/17,walking,walking,238,0.213,287,13
28/07/17,cycling,cycling,24979,129.325,0,3601
29/07/17,walking,walking,5144,4.902,8202,309
29/07/17,cycling,cycling,23418,117.223,0,3273
30/07/17,walking,walking,118,0.074,145,5
