day,date,lat,lon,state
0,2017-07-05 09:15:23,59.4172421,24.7990682,0
1,2017-07-05 22:21:22,59.3401315,24.2227469,1
2,2017-07-06 23:42:11,58.4944947,24.1386426,1
3,2017-07-07 23:43:37,57.6433664,24.3801129,1
4,2017-07-08 22:49:08,56.7959994,24.6159511,1
5,2017-07-09 22:54:26,55.8563296,24.9689943,1
6,2017-07-10 23:58:56,55.1436656,24.7482416,1
7,2017-07-11 19:51:24,54.3931798,24.0433178,1
8,2017-07-12 22:51:02,54.0629821,23.9210958,1
9,2017-07-13 23:32:03,53.7425077,23.0956829,1
10,2017-07-14 22:26:17,53.0915369,23.2447486,1
11,2017-07-15 20:52:53,52.4251148,23.2030922,1
12,2017-07-16 22:21:37,51.8635021,23.3961388,1
13,2017-07-17 20:13:24,51.0382668,23.8780132,1
14,2017-07-18 21:49:36,50.5270166,24.3035308,1
15,2017-07-19 21:02:52,49.8409196,24.0356005,1
16,2017-07-20 23:05:31,48.9113327,24.7821193,1
17,2017-07-21 19:54:46,48.6403101,25.7349568,1
18,2017-07-22 21:11:41,47.6818798,26.4267407,1
19,2017-07-23 21:35:41,46.8735034,26.980604,1
20,2017-07-24 20:33:30,46.2015422,27.6499533,1
21,2017-07-25 23:12:05,45.4347668,28.0501428,1
22,2017-07-26 21:53:40,44.5991924,27.3912019,1
23,2017-07-27 20:15:10,43.7454195,27.4072812,1
24,2017-07-28 21:17:50,42.9809839,27.6912837,1
25,2017-07-29 21:58:12,42.4157,27.6905404,1
26,2017-07-30 22:43:46,41.964246,27.3985806,1
27,2017-07-31 20:59:29,41.4343378,28.0807894,1
28,2017-08-01 19:13:27,40.9977995,28.9282999,2
