day,lat,lon
1.0,59.43847,24.74289
1.0,59.43826,24.74299
1.0,59.43811,24.743
1.0,59.43772,24.74298
1.0,59.43771,24.74312
1.0,59.43772,24.74339
1.0,59.43768,24.74356
1.0,59.43754,24.74396
1.0,59.43735,24.7443
1.0,59.43736,24.74492
1.0,59.43715,24.74497
1.0,59.437,24.74581
1.0,59.43687,24.74582
1.0,59.43673,24.74643
1.0,59.43648,24.74596
1.0,59.43619,24.74633
1.0,59.43569,24.74635
1.0,59.43538,24.74647
1.0,59.43518,24.74647
1.0,59.4351,24.74642
1.0,59.43494,24.7466
1.0,59.4348,24.74664
1.0,59.43428,24.74666
1.0,59.43418,24.74674
1.0,59.43383,24.74624
1.0,59.43358,24.74602
1.0,59.43317,24.74584
1.0,59.43285,24.74571
1.0,59.43205,24.7456
1.0,59.43181,24.74554
1.0,59.4311700002,24.745329996
1.0,59.43053,24.74512
1.0,59.4305,24.7451
1.0,59.4302,24.74462
1.0,59.42988,24.74408
1.0,59.42969,24.74379
1.0,59.42932,24.74338
1.0,59.4291,24.74318
1.0,59.42865,24.7427
1.0,59.4285,24.74256
1.0,59.42834,24.74248
1.0,59.4275557143,24.7424757137
1.0,59.4267714286,24.7424714276
1.0,59.4259871429,24.7424671417
1.0,59.4252028571,24.742462856
1.0,59.4244185714,24.7424585704
1.0,59.4236342857,24.7424542851
1.0,59.42285,24.74245
1.0,59.422,24.74247
1.0,59.42169,24.74242
1.0,59.42138,24.74234
1.0,59.42104,24.7422
1.0,59.4201960022,24.7418199621
1.0,59.4193520033,24.7414399432
1.0,59.4185080033,24.7410599432
1.0,59.4176640022,24.7406799621
1.0,59.41682,24.7403
1.0,59.4162700001,24.7400099952
1.0,59.41572,24.73972
1.0,59.41486,24.7394
1.0,59.41437,24.7391899969
1.0,59.41388,24.73898
1.0,59.4132900006,24.7387033237
1.0,59.4127000006,24.738426657
1.0,59.41211,24.73815
1.0,59.41149,24.73784
1.0,59.41108,24.73753
1.0,59.4103500018,24.7368499854
1.0,59.40962,24.73617
1.0,59.4088680088,24.7354099325
1.0,59.4081160132,24.7346498987
1.0,59.4073640132,24.7338898987
1.0,59.4066120088,24.7331299324
1.0,59.40586,24.73237
1.0,59.40564,24.73217
1.0,59.40511,24.73162
1.0,59.4043950019,24.7309249854
1.0,59.40368,24.73023
1.0,59.40355,24.73008
1.0,59.40338,24.72993
1.0,59.40272,24.72943
1.0,59.40216,24.72895
1.0,59.4019,24.72866
1.0,59.4018,24.72864
1.0,59.40174,24.72865
1.0,59.40168,24.72871
1.0,59.4016,24.72898
1.0,59.4016,24.72916
1.0,59.40152,24.72898
1.0,59.4015,24.72903
1.0,59.40146,24.72895
1.0,59.40138,24.72885
1.0,59.40123,24.72871
1.0,59.40085,24.72847
1.0,59.40033,24.72817
1.0,59.40009,24.72814
1.0,59.3997,24.72794
1.0,59.39934,24.72768
1.0,59.3985885746,24.727308522
1.0,59.3978371481,24.7269370605
1.0,59.3970857206,24.7265656155
1.0,59.3963342921,24.7261941869
1.0,59.3955828624,24.7258227748
1.0,59.3948314317,24.7254513792
1.0,59.39408,24.72508
1.0,59.39395,24.72508
1.0,59.39383,24.7251
1.0,59.39382,24.72502
1.0,59.39368,24.72513
1.0,59.39341,24.72548
1.0,59.39272,24.72658
1.0,59.3926,24.72681
1.0,59.39251,24.72671
1.0,59.39212,24.72655
1.0,59.39189,24.72642
1.0,59.39172,24.72629
1.0,59.39171,24.72629
1.0,59.39189,24.72642
1.0,59.39212,24.72655
1.0,59.39251,24.72671
1.0,59.3926,24.72681
1.0,59.39248,24.72701
1.0,59.3919900118,24.7280225439
1.0,59.3915000157,24.7290350586
1.0,59.3910100117,24.7300475439
1.0,59.39052,24.73106
1.0,59.39004,24.73183
1.0,59.38989,24.73204
1.0,59.3893500009,24.7325500082
1.0,59.38881,24.73306
1.0,59.3881300019,24.7337700142
1.0,59.38745,24.73448
1.0,59.3867325069,24.7352575494
1.0,59.3860150092,24.7360350659
1.0,59.3852975069,24.7368125494
1.0,59.38458,24.73759
1.0,59.3838833439,24.7383317429
